time,CO2,CO2_QC,GPP_DT,GPP_NT,G,G_QC,H_CORR,H,H_QC,H_RANDUNC,H_RANDUNC_N,LE_CORR,LE,LE_QC,LE_RANDUNC,LE_RANDUNC_N,LW_IN,LW_OUT,NEE,NEE_QC,NEE_RANDUNC,NEE_RANDUNC_N,NETRAD,NIGHT,P,PA,PPFD_DIF,PPFD_IN,PPFD_OUT,RECO_DT,RECO_NT,SWC_1,SWC_1_QC,SWC_2,SWC_2_QC,SW_IN,SW_IN_QC,SW_OUT,SW_IN_POT,TA,TA_QC,TS_1,TS_2,TS_1_QC,TS_2_QC,USTAR,VPD,VPD_QC,WS,ET,PET,RH,TEA_T_NT_75
2021-05-26 09:15:00,398.642,,13.7790936647475,13.7790936647475,,,,82.8735,0.0,,,,138.439,0.0,,,,,-14.86644,0.0,,,90.5555937108976,,0.0,98624.6,,1318.31297401572,,6.57707622453954,,,,,,573.179553919876,1.0,,885.383552844992,22.173,0.0,,,,,0.319937,18.7936,0.0,3.24282,0.10177467418887326,4.40602112007349e-06,0.2948922963231638,0.06478110758157882
2021-05-26 09:45:00,396.757,,14.5926131689796,14.5926131689796,,,,46.4135,0.0,,,,127.354,0.0,,,,-116.857571247352,-5.88687,0.0,,,99.940711645278,,0.0,98615.8,,1461.15919233916,,6.57893355135594,,,,,,635.286605364854,0.0,535.345893719576,885.383552844992,22.193,0.0,,,,,0.149601,18.8539,0.0,2.59643,0.09362724943041333,7.79787015806526e-06,0.2934904381910015,0.0717648585229489
2021-05-26 10:15:00,396.991,,15.0564595856788,15.0564595856788,,,,116.88,0.0,,,,155.296,0.0,,,,,-7.855652,0.0,,,107.101711876078,,0.0,98598.9,,1571.10056585876,,6.6154079678554,,,,,,683.087202547285,1.0,,996.3759609115,22.587,0.0,,,,,0.266882,19.4551,0.0,3.10464,0.1142130183060433,1.89906026490265e-06,0.288209130174507,0.07480728963294359
2021-05-26 10:45:00,393.759,,15.474558741562,15.474558741562,,,,154.017,0.0,,,,140.483,0.0,,,,-119.895558596585,-7.80187,0.0,,,114.262712106877,,0.0,98574.4,,1681.04193937835,,6.6388063913369,,,,,,730.887799729716,0.0,616.625087622839,996.3759609115,22.841,0.0,,,,,0.334939,20.0137,0.0,3.45863,0.10334416115322469,1.02173740977655e-05,0.27895984902608284,0.08266843903556044
2021-05-26 11:15:00,392.302,,15.7825798313542,15.7825798313542,,,,86.7406,0.0,,,,170.899,0.0,,,,,-8.6272715,1.0,,,119.255286220301,,0.0,98564.4,,1758.51640760309,,6.65193983954949,,,,,,764.572351131777,1.0,,1066.14870547339,22.984,0.0,,,,,0.0899893,20.2182,0.0,3.37785,0.12573663986634576,5.85867878151461e-06,0.27786980266036887,0.08431395430410005
2021-05-26 11:45:00,391.52,,15.9401606260572,15.9401606260572,,,,276.837,0.0,,,,247.504,0.0,,,,-123.695216500462,-10.045697,0.0,,,124.247860333725,,0.0,98559.5,,1835.99087582783,,6.68670159559721,,,,,,798.256902533838,0.0,674.009042200113,1066.14870547339,23.364,0.0,,,,,0.395005,20.9713,0.0,3.54696,0.18216479524770768,2.60234110806374e-06,0.2679699596904028,0.10424993812203806
2021-05-26 12:15:00,390.826,,15.0173579271448,15.0173579271448,,,,147.874,0.0,,,,199.123,0.0,,,,,-8.805867,0.0,,,114.188151270162,,0.0,98527.1,,1642.83728424515,,6.7011872257524,,,,,,714.277080106588,1.0,,1089.94688929369,23.523,0.0,,,,,0.407257,21.3051,0.0,3.73254,0.146578602669046,3.02587199460011e-06,0.2634128727159524,0.0990357116381069
2021-05-26 12:45:00,390.353,,14.0345583891918,14.0345583891918,,,,130.97,0.0,,,,129.207,0.0,,,,-82.7226735137855,-10.094266,0.0,,,104.128442206598,,0.0,98512.1,,1449.68369266248,,6.70855326539995,,,,,,630.297257679337,0.0,526.168815472739,1089.94688929369,23.604,0.0,,,,,0.277514,21.4943,0.0,4.08954,0.09511944114940855,6.22253389816552e-07,0.26048840605179535,0.08845271502767076
2021-05-26 13:15:00,391.017,,12.8415598125987,12.8415598125987,,,,158.168,0.0,,,,136.304,0.0,,,,,-14.468204,0.0,,,91.686718249298,,0.0,98484.6,,1243.67768989598,,6.7315025443641,,,,,,540.729430389556,1.0,,1066.14870547339,23.857,0.0,,,,,0.266806,21.811,0.0,3.06903,0.10036871513622622,1.45182439304661e-06,0.26092697782544816,0.08112235476164872
2021-05-26 13:45:00,389.161,,11.443587116922,11.443587116922,,,,227.885,0.0,,,,184.65,0.0,,,,-59.5543246564134,-9.93544,0.0,,,79.2449942919979,,0.0,98442.2,,1037.67168712948,,6.77408227114285,,,,,,451.161603099774,0.0,371.916608807776,1066.14870547339,24.3290000000001,0.0,,,,,0.369813,22.5197,0.0,4.33463,0.13603099170464703,-2.9764313038468e-06,0.2582180330083358,0.07631662860753255
