TIMESTAMP_START,TIMESTAMP_END,SW_IN_F_MDS,SW_IN_F_MDS_QC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,CO2_F_MDS,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,PPFD_IN,PA,P,RECO_DT_VUT_USTAR50,GPP_DT_VUT_USTAR50,G_F_MDS,TA_F_MDS,TA_F_MDS_QC,USTAR,VPD_F_MDS,VPD_F_MDS_QC,WS_F,PET,ET,NETRAD,LE_CORR,ETkg,CO2_F_MDS_QC,GPP_NT_VUT_USTAR50,G_F_MDS_QC,H_CORR,H_RANDUNC,H_RANDUNC_N,LE_RANDUNC,LE_RANDUNC_N,LW_OUT,LW_IN_F_MDS,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_RANDUNC_N,NIGHT,PPFD_DIF,PPFD_OUT,RECO_NT_VUT_USTAR50,SWC_F_MDS_1,SWC_F_MDS_1_QC,SWC_F_MDS_2,SWC_F_MDS_2_QC,SW_OUT,SW_IN_POT,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC
202105261300,202105261330,347.169526469489,1,-7.29741,0,414.216,167.393,0,124.179,0,798.489910879824,98682.8,98682.8,2.18856747395722,5.24044423430336,-185.740138148433,20.743,0,0.219462,16.228,0,2.19867,0.000125290300994758,3.78969546092788,56.3048618515672,307.191657576812,6.82724248433448e-05,-9999,5.24044423430336,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1066.14870547339,-9999,-9999,-9999,-9999
202105261330,202105261400,333.021208065021,0,-2.81592,0,407.778,149.788,0,123.117,0,765.948778549548,98655.2,98655.2,2.22094669767384,5.00990225980501,-219.368280785062,21.191,0,0.265901,17.2895,0,2.08546,0.000134272746323424,3.39259604259343,53.5367192149375,329.072602726288,6.11185676342126e-05,-9999,5.00990225980501,-9999,-9999,-9999,-9999,-9999,-9999,-68.9360886799458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,279.484488850083,1066.14870547339,-9999,-9999,-9999,-9999
202105261400,202105261430,300.721152236755,1,-15.15477,0,400.83,189.651,0,176.481,0,691.658650144536,98649.1,98649.1,2.25611833934074,4.60382667472062,-323.161478986732,21.677,0,0.248729,18.1232,0,2.39936,0.000124082633702363,4.29748554418994,47.4765210132682,303.955984865295,7.74204053745342e-05,-9999,4.60382667472062,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,996.3759609115,-9999,-9999,-9999,-9999
202105261430,202105261500,268.421096408489,0,1.72653,0,397.008,288.095,0,180.276,0,617.368521739524,98641.2,98641.2,2.28654893607389,4.21459302727955,-426.954677188401,22.097,0,0.372228,18.5531,0,2.74825,0.000137325656753218,6.53087721735439,41.4163228115988,336.259738001456,0.00011765558171626,-9999,4.21459302727955,-9999,-9999,-9999,-9999,-9999,-9999,-70.5747817225486,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,227.00477359689,996.3759609115,-9999,-9999,-9999,-9999
202105261500,202105261530,203.312690922417,1,-14.86644,0,398.642,138.439,0,82.8735,0,467.619189121559,98624.6,98624.6,2.29205870244681,3.40310507998272,-288.85654239944,22.173,0,0.319937,18.7936,0,3.24282,0.00011083549103831,3.13852938508228,32.2127076005601,271.375156924396,5.65414856604851e-05,-9999,3.40310507998272,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,885.383552844992,-9999,-9999,-9999,-9999
202105261530,202105261600,138.204285436345,0,-5.88687,0,396.757,127.354,0,46.4135,0,317.869856503594,98615.8,98615.8,2.29350880196318,2.48478635419109,-150.758407610479,22.193,0,0.149601,18.8539,0,2.59643,6.23315260280818e-05,2.88727894167905,23.0090923895213,152.612669765808,5.20151385724518e-05,-9999,2.48478635419109,-9999,-9999,-9999,-9999,-9999,-9999,-52.3294678884611,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,115.195193046824,885.383552844992,-9999,-9999,-9999,-9999
202105261600,202105261630,88.6012621980529,1,-7.855652,0,396.991,155.296,0,116.88,0,203.782903055522,98598.9,98598.9,2.32208896676918,1.68372946757025,-219.486620583809,22.587,0,0.266882,19.4551,0,3.10464,7.58784504514589e-05,3.52210328325126,14.6471294161911,185.710140831076,6.34516768366907e-05,-9999,1.68372946757025,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,740.735430459973,-9999,-9999,-9999,-9999
202105261630,202105261700,38.9982389597607,0,-7.80187,0,393.759,140.483,0,154.017,0,89.6959496074496,98574.4,98574.4,2.34052642177515,0.789006408590043,-288.214833557139,22.841,0,0.334939,20.0137,0,3.45863,7.91746980155723e-05,3.18692925466063,6.28516644286086,193.729942349571,5.74134228629026e-05,-9999,0.789006408590043,-9999,-9999,-9999,-9999,-9999,-9999,-36.3935113524739,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,32.7130725168999,740.735430459973,-9999,-9999,-9999,-9999
202105261700,202105261730,21.7501350107007,1,-9.91514,0,392.302,170.899,0,86.7406,0,50.0253105246116,98564.4,98564.4,2.35091067611001,0.450558645956559,-405.878918373186,22.984,0,0.0899893,20.2182,0,3.37785,1.5109183262525e-05,3.87746894939388,3.54158162681398,36.965038700164,6.98536888146365e-05,-9999,0.450558645956559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,572.28912425466,-9999,-9999,-9999,-9999
202105261730,202105261800,4.50203106164069,0,-10.045697,0,391.52,247.504,0,276.837,0,10.3546714417736,98559.5,98559.5,2.37851871076651,0.0955742632668166,-523.543003189233,23.364,0,0.395005,20.9713,0,3.54696,8.7872858098906e-05,5.61760150419556,0.797996810767103,214.904262453168,0.000101202664026504,-9999,0.0955742632668166,-9999,-9999,-9999,-9999,-9999,-9999,-28.486397169897,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.70403425087359,572.28912425466,-9999,-9999,-9999,-9999
