time,ET,zhou_T,zhou_T_8day
2008-03-19,0.878468643566511,0.011167764482077592,0.02134457436672584
2008-03-20,0.6872489947158152,0.01379271071829269,0.01700786344330266
2008-03-21,0.48410209373516133,0.008339631215292893,0.01046111493565202
2008-03-22,0.4176714190607829,0.009129511077531393,0.0075895248779785165
2008-03-23,0.34838452659018015,0.009622560600708041,0.004612964390478462
2008-03-24,0.5445244727857284,0.002507243051801838,0.0054099064293473016
2008-03-25,0.43683806715064455,0.015872979272876113,0.005389556266472623
2008-03-26,0.7938712153603975,0.0004401141170434421,0.013047585539946125
2008-03-27,0.7964892436673605,-0.0022923401576701715,0.014383871304873766
2008-03-28,0.9752721679607422,0.022862051972349386,0.029716460088151986
2008-03-29,0.2998127776380414,0.04335553978990749,0.011854628154172864
2008-03-30,0.2749142478709705,0.02425303113278325,0.02049427913608838
